abhishek,9876543215,abhi@gmail.com
flynn,7539514682,breakfast@gmail.com
gustav fring,7845961230,gus@gmail.com
hank schreddar,6985741230,jh@gmail.com
hector,9547863215,salamanca@gmail.com
jesse pinkman,7418529630,pinkyo@gmail.com
karthik,9873216540,kar@gmail.com
mike erhmatraut,9631247562,waltuh@gmail.com
saul goodman,8965327410,mcgill@gmail.com
skylar,6598741230,skylar@gmail.com
varun,9876549876,varun@gmail.com
vasanth,8073827996,vas@gmail.com
vinay k,9876543210,vinay@gmail.com
walter white,9632587410,heisenberg@gmail.com
